[2023.05.18 16:02:59.947] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:02:59.960] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 16:02:59.961] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 16:02:59.964] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 16:02:59.967] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 16:03:27.693] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:03:27.708] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 16:03:27.709] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 16:03:27.711] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 16:03:27.713] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 16:03:28.000] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:03:28.013] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
